name,daysOfWeek,streak,lastCompleted,completed
meditate,MTWRFSN,4,2024-10-18,false
supplements,MTWRFSN,6,2024-10-19,true
cardio,MTWRFSN,2,2024-10-17,false
code,MTWRFSN,4,2024-10-18,false
WSJ,MTWRFSN,3,2024-10-18,false
hair routine,TF,0,2024-10-09,false
clean,N,0,2024-10-05,false
wrist exercises,MWS,1,2024-10-16,false
neck exercises,TRN,2,2024-10-16,false
face mask,MR,2,2024-10-17,false
morning,MTWRFSN,4,2024-10-18,false
asian squat,MWFN,2,2024-10-18,false
banded supination or towel crunches,TRS,1,2024-10-17,false
